,Company Name,Overview,Rating,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
79,Udaan,1k-5k Employees | Indian Unicorn | 8 years old | Bangalore +337 more,4.0,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",4.8k,20.3k,289,299,787,8
80,Hexaware Technologies,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 34 years old | Mumbai +46 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.8k,45.3k,419,394,589,25
81,IIFL Finance,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +660 more,4.0,Salary & Benefits,,4.8k,16.2k,203,148,438,8
82,JSW Steel,Iron & Steel | 10k-50k Employees | Public | 42 years old | Mumbai +142 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.7k,24.6k,384,83,626,18
83,Ujjivan Small Finance Bank,Banking | 10k-50k Employees | Public | 7 years old | Bangalore/Bengaluru +438 more,4.1,"Company Culture, Job Security, Work Life Balance",,4.6k,12.3k,160,146,598,5
84,Muthoot Finance,NBFC | 10k-50k Employees | Public | 85 years old | Kochi/Cochin +634 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",4.5k,11.8k,183,539,337,4
85,Max Life Insurance,Insurance | 10k-50k Employees | 24 years old | Gurgaon/Gurugram +393 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,4.5k,17.1k,211,427,513,--
86,Aurobindo Pharma,Pharma | 10k-50k Employees | Public | 38 years old | Hyderabad/Secunderabad +92 more,4.0,"Job Security, Salary & Benefits",,4.4k,22.3k,184,7,494,7
87,KPMG India,Management Consulting | 10k-50k Employees | 37 years old | Bangalore / Bengaluru +76 more,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",4.4k,63k,521,694,782,5
88,Tata Projects,Engineering & Construction | 5k-10k Employees | Public | 45 years old | Mumbai +236 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,4.4k,19.5k,289,35,562,17
89,Shapoorji Pallonji Group,Engineering & Construction | 5k-10k Employees | Conglomerate | 159 years old | Mumbai +164 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,4.4k,15.4k,256,39,657,9
90,Oracle,Software Product | 50k-1 Lakh Employees | Public | 47 years old | Austin +47 more,3.8,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",4.4k,58.5k,541,216,641,26
91,Home Credit Finance,Financial Services | 10k-50k Employees | 12 years old | Gurugram +114 more,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",,4.4k,11.1k,94,117,632,3
92,eClerx,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Mumbai +17 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.3k,27.6k,324,63,587,15
93,Apollo Hospitals,Healthcare | 10k-50k Employees | Public | 41 years old | Chennai +186 more,4.1,"Job Security, Skill Development / Learning, Company Culture",,4.3k,14.9k,225,133,523,--
94,Ashok Leyland,Automobile | 5k-10k Employees | Public | 76 years old | Chennai +211 more,4.1,"Skill Development / Learning, Work Satisfaction, Company Culture",,4.2k,18.2k,162,3,676,8
95,Siemens,Industrial Automation | 5k-10k Employees | Public | 177 years old | Munich +127 more,4.2,"Job Security, Company Culture, Work Life Balance",,4.2k,30.2k,260,499,665,9
96,Omega Healthcare,Healthcare | 10k-50k Employees | 21 years old | Florida +45 more,3.8,,"Promotions / Appraisal, Salary & Benefits",4.2k,20.5k,247,107,413,7
97,JLL,Real Estate | 10k-50k Employees | Forbes Global 2000 | 27 years old | Mumbai +70 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,4.2k,20.2k,215,28,573,5
98,Megha Engineering & Infrastructures,Engineering & Construction | 5k-10k Employees | Conglomerate | 35 years old | Hyderabad/Secunderabad +294 more,4.1,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.2k,14.5k,308,25,562,7
99,Vivo,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 15 years old | Gurgaon/Gurugram +375 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,4.2k,13.6k,146,6,666,2
100,First Source,BPO | 10k-50k Employees | Public | 23 years old | Mumbai +55 more,3.8,,"Promotions / Appraisal, Salary & Benefits",4.1k,20.1k,195,146,603,16
101,JustDial,Internet | 10k-50k Employees | Public | 28 years old | Mumbai +179 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Job Security",4.1k,14.6k,232,99,384,7
102,Bajaj Allianz Life Insurance,Insurance | 10k-50k Employees | 23 years old | Pune +500 more,4.1,"Salary & Benefits, Work Life Balance, Job Security",,4k,15.2k,223,68,487,4
103,OPPO,Consumer Electronics & Appliances | 10k-50k Employees | Public | 20 years old | Dongguan +363 more,4.0,Skill Development / Learning,Promotions / Appraisal,4k,13.4k,173,10,649,10
104,Hero MotoCorp,Automobile | 5k-10k Employees | Public | 40 years old | Gurgaon/Gurugram +315 more,4.2,"Work Life Balance, Company Culture, Job Security",,4k,14.3k,256,7,606,5
105,Mahindra Finance,NBFC | 10k-50k Employees | Public | 33 years old | Mumbai +633 more,4.3,"Job Security, Company Culture, Work Life Balance",,4k,10.9k,99,64,511,6
106,Standard Chartered,Banking | 10k-50k Employees | Fortune India 500 | 171 years old | London +58 more,3.9,Job Security,Promotions / Appraisal,3.9k,25.9k,129,36,330,3
107,DMart,Retail | 10k-50k Employees | Fortune India 500 | 24 years old | Mumbai +211 more,4.0,"Job Security, Company Culture",Promotions / Appraisal,3.9k,13.8k,262,93,484,2
108,Cyient,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Hyderabad/Secunderabad +35 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",3.9k,26k,202,148,490,3
109,Coforge,IT Services & Consulting | 10k-50k Employees | Public | 20 years old | Noida +86 more,3.5,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",3.9k,36.7k,298,197,328,7
110,BigBasket,Internet | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +114 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,3.9k,15.3k,266,39,442,24
111,ICICI Lombard General Insurance Company,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +261 more,3.8,Job Security,Promotions / Appraisal,3.8k,18.3k,183,238,378,15
112,Indiamart Intermesh,Internet | 5k-10k Employees | 28 years old | Noida +140 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",3.8k,17.9k,377,901,444,10
113,CGI Group,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 48 years old | Montreal +28 more,4.1,"Job Security, Work Life Balance, Company Culture",,3.8k,41.8k,273,236,428,4
114,Virtusa Consulting Services,IT Services & Consulting | 10k-50k Employees | 28 years old | Southborough +37 more,3.8,,Promotions / Appraisal,3.8k,50.6k,338,113,346,15
115,Equitas Small Finance Bank,Banking | 10k-50k Employees | Fortune India 500 | 17 years old | Chennai +367 more,4.4,"Job Security, Company Culture, Work Life Balance",,3.7k,11.8k,126,36,403,14
116,TVS Motor,Automobile | 5k-10k Employees | Public | 45 years old | Chennai +276 more,4.1,"Skill Development / Learning, Salary & Benefits, Company Culture",,3.7k,13.9k,213,158,542,6
117,Manappuram Finance,NBFC | 10k-50k Employees | Public | 75 years old | Thrissur/Trichur +497 more,4.0,"Skill Development / Learning, Promotions / Appraisal",,3.6k,7.6k,108,7,266,1
118,GlobalLogic,IT Services & Consulting | 10k-50k Employees | 24 years old | San Jose +32 more,3.7,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.6k,31.9k,335,81,554,14
119, UST,IT Services & Consulting | 10k-50k Employees | 23 years old | Aliso Viejo +36 more,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,3.6k,35.9k,294,88,454,13
120,Ekart Logistics,Logistics | 1k-5k Employees | 15 years old | San Francisco +570 more,4.1,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,3.6k,8.5k,208,--,365,27
